,Company,Model,Year,Price in Lak,Fuel,Kilometer,City,EMIstarts
0,BMW,3 Series,2020,43.75,Diesel,"9,300",Delhi,"₹72,654"
1,Maruti,Suzuki Ciaz,2016,6.4,Petrol,"37,065",Mumbai,"₹10,628"
2,Hyundai,Aura S,2021,7.75,CNG,"23,000",Mumbai,"₹12,870"
3,Maruti,Suzuki Swift,2018,5.8,Diesel,"28,851",Kolkata,"₹9,631"
4,Toyota,Corolla Altis,2016,11.5,Petrol,"62,000",Delhi,"₹19,097"
5,Audi,Q3 2,2013,10.65,Diesel,"83,000",Mohali,"₹17,686"
6,Honda,Amaze 1,2013,4.25,Diesel,"79,500",Pune,
7,Tata,Tigor Revotron,2017,4.75,Petrol,"47,323",Agra,"₹7,888"
8,Toyota,Etios,2013,4.25,Petrol,"51,602",Pune,"₹7,057"
9,Skoda,Rapid 1,2015,5.5,Petrol,"34,559",Pune,"₹9,133"
10,Hyundai,Grand i10,2019,5.25,Petrol,"44,620",Delhi,"₹8,718"
11,Honda,Amaze 1,2017,5.35,Petrol,"58,235",Delhi,
12,Ford,Endeavour Titanium,2017,,Diesel,"71,788",Hyderabad,
13,Hyundai,i20 Magna,2013,3.75,Petrol,"79,289",Kanpur,"₹6,227"
14,MINI,Cooper,2021,,Petrol,"11,725",Mumbai,"₹69,748"
15,Honda,City VX,2016,7.9,Petrol,"68,085",Pune,"₹13,119"
16,Volkswagen,Ameo Highline1,2018,6.9,Diesel,"74,290",Pune,"₹11,458"
17,Maruti,Suzuki Celerio,2022,5.95,Petrol,"12,290",Pune,"₹9,880"
18,Maruti,Suzuki Wagon,2018,4.75,CNG,"89,739",Pune,"₹7,888"
19,Maruti,Suzuki Ciaz,2017,8.25,Petrol,"41,468",Delhi,
20,Maruti,Suzuki Alto,2014,2.65,CNG,"65,952",Delhi,"₹4,400"
21,Honda,City 1,2014,5.78,Petrol,"47,554",Delhi,"₹9,598"
22,Mahindra,XUV500 W8,2013,6.58,Diesel,"58,865",Jamshedpur,"₹10,927"
23,Mercedes,Benz C,2019,,Petrol,"15,971",Mumbai,"₹64,766"
24,Honda,City V,2018,9.2,Petrol,"22,117",Mumbai,"₹15,278"
25,Hyundai,Creta SX,2018,11.9,Petrol,"50,824",Mumbai,"₹19,761"
26,Maruti,Suzuki Swift,2019,5.8,Petrol,"58,595",Delhi,"₹9,631"
27,Maruti,Suzuki Vitara,2019,8.7,Diesel,"44,091",Pune,"₹14,447"
28,Hyundai,Verna Fluidic,2014,5.5,Diesel,"79,649",Pune,"₹9,133"
29,Hyundai,Verna Fluidic,2013,5.7,Diesel,"79,592",Lucknow,"₹9,465"
30,Hyundai,Verna 1,2018,7.5,Petrol,"16,339",Kolkata,"₹12,455"
31,Maruti,Suzuki Wagon,2015,3.85,Petrol,"55,488",Lucknow,"₹6,393"
32,Honda,Amaze 1,2014,3.95,Petrol,"66,000",Noida,"₹6,559"
33,Maruti,Suzuki Ciaz,2017,6.75,Petrol,"73,402",Pune,"₹11,209"
34,Honda,Amaze 1,2014,3.95,Petrol,"65,636",Pune,"₹6,559"
35,Jeep,Compass Limited,2017,16.75,Diesel,"37,430",Hyderabad,"₹27,816"
36,Maruti,Suzuki Ciaz,2016,5.3,Diesel,"75,000",Ambala Cantt,"₹8,801"
37,Honda,Jazz V,2016,6.29,Petrol,"62,500",Hubli,"₹10,445"
38,Volkswagen,Vento Highline,2021,11.5,Petrol,"13,286",Mumbai,"₹19,097"
39,Skoda,Octavia 2,2018,,Diesel,"60,000",Chennai,"₹38,195"
40,Toyota,Etios,2013,4.25,Petrol,"51,602",Pune,"₹7,057"
